"year","event_id","state","month","event","injuries","deaths","damage","damage_num","damage_mod","begin_loc","end_loc","begin_lat","begin_lon","end_lat","end_lon","county","state_fips","county_fips","damage_cpi","CPI","cpi_adj"
1996,5559240,"Kentucky","June","Flash Flood",0,1,"75K",75,"K","Olive Hill","Olive Hill",NA,NA,NA,NA,"Carter",21,43,121312.5,100,1.6175
1996,5559241,"West Virginia","June","Flash Flood",0,0,"20K",20,"K","Hurricane","Hurricane",NA,NA,NA,NA,"Putnam",54,79,32350,100,1.6175
1996,5552894,"Tennessee","June","Flash Flood",0,0,"10K",10,"K","Huntingdon","Huntingdon",NA,NA,NA,NA,"Carroll",47,17,16175,100,1.6175
1996,5552895,"Tennessee","June","Flash Flood",0,0,"10K",10,"K","Oakland","Oakland",NA,NA,NA,NA,"Fayette",47,47,16175,100,1.6175
1996,5552896,"Tennessee","June","Flash Flood",0,0,"5K",5,"K","Milan","Milan",NA,NA,NA,NA,"Gibson",47,53,8087.5,100,1.6175
1996,5552897,"Tennessee","June","Flash Flood",0,0,"2K",2,"K","Oakland","Oakland",NA,NA,NA,NA,"Fayette",47,47,3235,100,1.6175
1996,5552898,"Tennessee","June","Flash Flood",0,0,"2K",2,"K","Fairview","Fairview",NA,NA,NA,NA,"Madison",47,113,3235,100,1.6175
1996,5555702,"West Virginia","May","Flash Flood",0,0,"5K",5,"K","Belle","Belle",NA,NA,NA,NA,"Kanawha",54,39,8087.5,100,1.6175
1996,5554103,"Kentucky","May","Flash Flood",0,0,".15M",0.15,"M","Hazard","Hazard",NA,NA,NA,NA,"Perry",21,193,242625,100,1.6175
1996,5567871,"Kentucky","May","Flash Flood",0,0,"25K",25,"K","Countywide","Countywide",NA,NA,NA,NA,"Carroll",21,41,40437.5,100,1.6175
1996,5567872,"Kentucky","May","Flash Flood",0,0,"5K",5,"K","Warsaw","Warsaw",NA,NA,NA,NA,"Gallatin",21,77,8087.5,100,1.6175
1996,5554102,"Kentucky","May","Flash Flood",0,0,".25M",0.25,"M","Booneville","Booneville",NA,NA,NA,NA,"Owsley",21,189,404375,100,1.6175
1996,5555505,"West Virginia","May","Flash Flood",0,0,"5K",5,"K","Bim","Bim",NA,NA,NA,NA,"Boone",54,5,8087.5,100,1.6175
1996,5555506,"West Virginia","May","Flash Flood",0,0,"15K",15,"K","4s Charleston","4s Charleston",NA,NA,NA,NA,"Kanawha",54,39,24262.5,100,1.6175
1996,5555507,"West Virginia","May","Flash Flood",0,0,"10K",10,"K","Bickmore","Bickmore",NA,NA,NA,NA,"Clay",54,15,16175,100,1.6175
1996,5555508,"West Virginia","May","Flash Flood",0,0,"15K",15,"K","12n Webster Springs","12n Webster Springs",NA,NA,NA,NA,"Webster",54,101,24262.5,100,1.6175
1996,5557686,"Mississippi","July","Flood",0,0,".1M",0.1,"M","South Portion","South Portion",NA,NA,NA,NA,"Harrison",28,47,161750,100,1.6175
1996,5550427,"Kentucky","July","Flash Flood",0,0,"1.07M",1.07,"M","Western Half","Western Half",NA,NA,NA,NA,"Garrard",21,79,1730725,100,1.6175
1996,5550428,"Kentucky","July","Flash Flood",0,0,".2M",0.2,"M","Countywide","Countywide",NA,NA,NA,NA,"Taylor",21,217,323500,100,1.6175
1996,5558625,"Kentucky","May","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Boone",21,15,8087.5,100,1.6175
1996,5555324,"West Virginia","May","Flash Flood",0,0,"5K",5,"K","Riverton","Riverton",NA,NA,NA,NA,"Pendleton",54,71,8087.5,100,1.6175
1996,5554105,"Kentucky","May","Flash Flood",0,0,"10K",10,"K","Prestonsburg","Prestonsburg",NA,NA,NA,NA,"Floyd",21,71,16175,100,1.6175
1996,5558611,"Kentucky","May","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Bracken",21,23,8087.5,100,1.6175
1996,5558612,"Kentucky","May","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Pendleton",21,191,8087.5,100,1.6175
1996,5558135,"Tennessee","July","Flash Flood",0,0,".2M",0.2,"M","Auburntown","Auburntown",NA,NA,NA,NA,"Cannon",47,15,323500,100,1.6175
1996,5555493,"West Virginia","May","Flash Flood",0,0,"5K",5,"K","Yolyn","Yolyn",NA,NA,NA,NA,"Logan",54,45,8087.5,100,1.6175
1996,5555494,"West Virginia","May","Flash Flood",0,0,"10K",10,"K","10sw Elkins","5w Elkins",NA,NA,NA,NA,"Randolph",54,83,16175,100,1.6175
1996,5553920,"Kentucky","May","Flash Flood",0,0,"5K",5,"K","Wallins Creek","Wallins Creek",NA,NA,NA,NA,"Harlan",21,95,8087.5,100,1.6175
1996,5554104,"Kentucky","May","Flash Flood",0,0,"10K",10,"K","Foraker","Foraker",NA,NA,NA,NA,"Magoffin",21,153,16175,100,1.6175
1996,5555492,"West Virginia","May","Flash Flood",0,0,".4M",0.4,"M","Countywide","Countywide",NA,NA,NA,NA,"Upshur",54,97,647000,100,1.6175
1996,5555565,"West Virginia","May","Flash Flood",0,0,"5K",5,"K","Glendale","Glendale",NA,NA,NA,NA,"Marshall",54,51,8087.5,100,1.6175
1996,5555564,"West Virginia","May","Flash Flood",0,0,".2M",0.2,"M","Folsom","Folsom",NA,NA,NA,NA,"Wetzel",54,103,323500,100,1.6175
1996,5555930,"Tennessee","May","Flood",0,0,"5K",5,"K","","",NA,NA,NA,NA,"Lake",47,1,8087.5,100,1.6175
